Shot Time,Shot Count,Energy meter,Energy counts,Hot Plate(C),f_i,Error f_i
239568021,1,49.9,55.3,61,0.998210767764173,0.00384346712085515
239568161,2,50.01,55.3,61,1.00041123238249,0.00164753087603142
239568253,3,50.01,55.1,61.1,1.00404248912435,-0.00197625304093374
239568355,4,50.4,56,61.15,0.995610218669797,0.00643866450110153
239568446,5,50.4,55.8,61.18,0.999178714077216,0.00287751276096204
239568537,6,50.93,56,61.2,1.00607992930263,-0.00400950033648617
239568632,7,51.15,56.6,61.2142857142857,0.999714618864549,0.00234271082118853
239568731,8,51.41,56.8,61.225,1.00125824221076,0.000802264123662466
239568858,9,51.52,56.7,61.2333333333333,1.00517026192177,-0.00310170497556816
239568949,10,51.66,57.1,61.24,1.00084109547542,0.00121855240566104
239569048,11,51.88,57,61.24,1.00686663049881,-0.00479458256691734
239569139,12,51.91,56.8,61.24,1.01099621383312,-0.00891566756157713
239569236,13,52.19,57.7,61.21,1.00059498001881,0.00146416137709404
239569341,14,52.13,57.7,61.18,0.999444650476729,0.00261212363648033
239569439,15,52.44,57.9,61.15,1.00191517687669,0.000146681374741164
239569535,16,52.05,57.6,61.12,0.999643361916723,0.0024138211281316
239569636,17,51.88,57.5,61.09,0.998111268494475,0.00394276162931673
239569744,18,52.22,57.9,61.06,0.997711871405427,0.00434133679231463
239569838,19,52.5,57.7,61.03,1.00653834931955,-0.00446697696306875
239569937,20,52.3,57.7,61,1.00270391751262,-0.00064043609844755
239570038,21,52.44,57.6,61,1.00713348508959,-0.00506088799309867
239570139,22,52.36,57.5,61,1.00734591400098,-0.00527287974342672
239570277,23,52.33,57.5,61,1.00676874865682,-0.00469690215762997
239570341,24,52.36,58,61,0.998661897500969,0.00339326577160293
239570459,25,52.33,57.5,61,1.00676874865682,-0.00469690215762997
239570558,26,52.64,58.3,61,0.998835942648716,0.00321957879432011
239570649,27,52.83,58.1,61,1.00589190767499,-0.00382186564174436
239570747,28,52.36,57.9,61,1.00038670215987,0.00167201061749522
239570853,29,52.67,57.9,61,1.00630954168755,-0.00423864019817666
239570965,30,52.69,57.8,61.03,1.00843334144005,-0.00635806934711569
239571073,31,52.72,58.5,61.06,0.996933916966224,0.00511769026587017
239571160,32,52.39,57.8,61.09,1.00269164467725,-0.000628188519555817
239571261,33,52.61,57.9,61.12,1.00516318564993,-0.0030946432661112
239571371,34,52.67,58.2,61.12,1.00112237910153,0.000937847637896505
239571476,35,52.3,57.9,61.12,0.999240346122249,0.0028160075495608
239571564,36,52.64,58.5,61.12,0.995421118913165,0.00662737510613454
239571675,37,52.25,57.6,61.12,1.00348445072332,-0.00141936303660173
239571776,38,52.25,57.9,61.1,0.998285049424235,0.00376933832628212
239571877,39,52.67,58.3,61.08,0.99940518805676,0.0026515048460648
239571978,40,52.27,57.5,61.03,1.00561441796851,-0.00354494698603713
239572080,41,52.61,57.7,60.98,1.00864728681336,-0.00657157443861056
